Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Gradient Boosting,0.8034066713981547,0.6701754385964912,0.5106951871657754,0.5796661608497724,0.8435402619545842
Logistic Regression,0.7970191625266146,0.6476510067114094,0.516042780748663,0.5744047619047619,0.8418248986023922
Hist Gradient Boosting,0.7934705464868701,0.6334405144694534,0.5267379679144385,0.5751824817518248,0.8314707174042213
Random Forest,0.7856635911994322,0.6224489795918368,0.4893048128342246,0.5479041916167665,0.8188276628174326
Decision Tree,0.7267565649396736,0.4860759493670886,0.5133689839572193,0.49934980494148246,0.6581466842336409
